lat0 37.792480, lon0 -122.397450
posX,posY,posZ,halfSizeX,halfSizeY,halfSizeZ
-2.702389000000000010e+02,-9.923153999999999542e+01,8.000000000000000000e+01,5.000000000000000000e+00,5.000000000000000000e+00,8.000000000000000000e+01
-2.602389000000000010e+02,-9.923153000000000645e+01,8.000000000000000000e+01,5.000000000000000000e+00,5.000000000000000000e+00,8.000000000000000000e+01
-2.502389000000000010e+02,-9.923154999999999859e+01,8.000001000000000317e+01,5.000000000000000000e+00,5.000000000000000000e+00,8.000001000000000317e+01
-2.402389000000000010e+02,-9.923153999999999542e+01,8.000000000000000000e+01,5.000000000000000000e+00,5.000000000000000000e+00,8.000000000000000000e+01
-2.302389000000000010e+02,-9.923153999999999542e+01,7.999998999999999683e+01,5.000000000000000000e+00,5.000000000000000000e+00,7.999998999999999683e+01
-1.902389000000000010e+02,-9.923153999999999542e+01,8.000000000000000000e+01,5.000000000000000000e+00,5.000000000000000000e+00,8.000000000000000000e+01
-1.802389000000000010e+02,-9.923153999999999542e+01,8.000000000000000000e+01,5.000000000000000000e+00,5.000000000000000000e+00,8.000000000000000000e+01
-1.702389000000000010e+02,-9.923153999999999542e+01,8.000000000000000000e+01,5.000000000000000000e+00,5.000000000000000000e+00,8.000000000000000000e+01
-1.602389000000000010e+02,-9.923153999999999542e+01,8.000000000000000000e+01,5.000000000000000000e+00,5.000000000000000000e+00,8.000000000000000000e+01
-1.502389000000000010e+02,-9.923153999999999542e+01,8.000000000000000000e+01,5.000000000000000000e+00,5.000000000000000000e+00,8.000000000000000000e+01
-7.023886000000000251e+01,-9.923153999999999542e+01,1.500000000000000000e+00,5.000000000000000000e+00,5.000000000000000000e+00,1.500000000000000000e+00
-6.023886000000000251e+01,-9.923153999999999542e+01,1.500000000000000000e+00,5.000000000000000000e+00,5.000000000000000000e+00,1.500000000000000000e+00
-5.023886000000000251e+01,-9.923153999999999542e+01,5.900000000000000000e+01,5.000000000000000000e+00,5.000000000000000000e+00,5.900000000000000000e+01
